node_id,value_eur_m,derivation,source_id,source_url,period,confidence,notes
gdp_consumption_health_eur_m,10206.523,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP06)
gdp_consumption_health_CP061_medical_products_applian_eur_m,3692.658,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP061)
gdp_consumption_health_CP062_outpatient_services_eur_m,5377.291,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP062)
gdp_consumption_health_CP063_hospital_services_eur_m,1136.574,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP063)
gdp_consumption_transport_eur_m,21897.592,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP07)
gdp_consumption_transport_CP071_purchase_of_vehicles_eur_m,8576.241,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP071)
gdp_consumption_transport_CP072_operation_of_personal_tr_eur_m,11417.810,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP072)
gdp_consumption_transport_CP073_transport_services_eur_m,1903.541,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP073)
gdp_consumption_communication_eur_m,4162.010,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP08)
gdp_consumption_communication_CP081_postal_services_eur_m,106.091,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP081)
gdp_consumption_communication_CP082_telephone_and_telefax_eq_eur_m,573.075,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP082)
gdp_consumption_communication_CP083_telephone_and_telefax_se_eur_m,3482.844,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP083)
gdp_consumption_recreation_and_culture_eur_m,9081.705,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP09)
gdp_consumption_recreation_an_CP091_audio_visual_photographi_eur_m,1820.730,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP091)
gdp_consumption_recreation_an_CP092_other_major_durables_for_eur_m,140.710,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP092)
gdp_consumption_recreation_an_CP093_other_recreational_items_eur_m,2476.502,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP093)
gdp_consumption_recreation_an_CP094_recreational_and_cultura_eur_m,3345.986,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP094)
gdp_consumption_recreation_an_CP095_newspapers_books_and_sta_eur_m,898.889,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP095)
gdp_consumption_recreation_an_CP096_package_holidays_eur_m,398.887,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP096)
gdp_consumption_education_eur_m,2709.594,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP10)
gdp_consumption_education_CP101_pre_primary_and_primary__eur_m,819.539,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP101)
gdp_consumption_education_CP102_secondary_education_eur_m,488.241,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP102)
gdp_consumption_education_CP103_post_secondary_non_terti_eur_m,40.854,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP103)
gdp_consumption_education_CP104_tertiary_education_eur_m,608.204,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP104)
gdp_consumption_education_CP105_education_not_definable__eur_m,752.756,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP105)
gdp_consumption_restaurants_and_hotels_eur_m,27263.700,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP11)
gdp_consumption_restaurants_a_CP111_catering_services_eur_m,22591.956,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP111)
gdp_consumption_restaurants_a_CP112_accommodation_services_eur_m,4671.745,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP112)
gdp_consumption_miscellaneous_goods_and_services_eur_m,18772.478,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP12)
gdp_consumption_miscellaneous_CP121_personal_care_eur_m,5594.120,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP121)
gdp_consumption_miscellaneous_CP122_prostitution_eur_m,815.269,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP122)
gdp_consumption_miscellaneous_CP123_personal_effects_nec_eur_m,1680.556,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP123)
gdp_consumption_miscellaneous_CP124_social_protection_eur_m,2661.939,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP124)
gdp_consumption_miscellaneous_CP125_insurance_eur_m,3428.274,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP125)
gdp_consumption_miscellaneous_CP126_financial_services_nec_eur_m,3208.665,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP126)
gdp_consumption_miscellaneous_CP127_other_services_nec_eur_m,1383.655,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP127)
gdp_consumption_other_eur_m,-0.109,consumption - sum(12_divisions),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Absorbs data gaps

