coicop_code,coicop_name,value_eur_m_2023_est,share_percent,period,source_id,source_url
CP103,Post-secondary non-tertiary education,40.854,0.023,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
CP104,Tertiary education,608.204,0.336,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
CP105,Education not definable by level,752.756,0.416,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
CP111,Catering services,22591.956,12.480,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
CP112,Accommodation services,4671.745,2.581,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
CP121,Personal care,5594.120,3.090,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
CP122,Prostitution,815.269,0.450,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
CP123,Personal effects n.e.c.,1680.556,0.928,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
CP124,Social protection,2661.939,1.470,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
CP125,Insurance,3428.274,1.894,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
CP126,Financial services n.e.c.,3208.665,1.772,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
CP127,Other services n.e.c.,1383.655,0.764,2023 Estimated,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/
