hs2_code,exports_value_eur_m,imports_value_eur_m,period,source_id,source_url
50,0.281,5.318,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
51,52.292,45.416,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
52,456.894,876.009,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
53,43.355,37.537,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
54,180.591,418.641,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
55,216.773,307.897,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
56,344.335,218.524,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
57,125.969,102.941,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
58,64.484,124.232,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
59,169.827,221.469,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
60,385.023,426.190,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
61,2307.382,2128.829,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
62,1068.450,1778.944,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
63,966.581,608.304,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
64,1839.078,1165.184,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
65,46.765,92.120,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
66,3.064,21.880,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
67,2.610,26.573,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
68,436.882,263.171,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
69,1002.206,324.545,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
70,1156.821,633.367,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
71,314.641,314.275,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
72,882.967,3496.972,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
73,2423.038,1960.250,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
74,586.676,753.942,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
75,3.923,19.006,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
76,1037.628,1392.687,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
78,54.426,60.462,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
79,59.927,110.595,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
80,22.880,9.198,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
81,10.284,46.762,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
82,308.423,297.080,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
83,382.102,431.182,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
84,5305.964,8807.694,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
85,6596.222,10267.504,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
86,32.909,224.097,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
87,9778.309,12492.227,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
88,640.989,861.501,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
89,195.680,493.927,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
90,907.085,2199.727,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
91,46.116,139.424,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
92,3.821,25.424,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
93,80.362,52.192,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
94,2419.936,1481.547,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
95,218.559,469.441,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
96,133.912,365.675,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
97,34.690,35.314,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
